id,Title,Description,Running Title,Keywords,MR Count,PET Count,CT Count,Role,Accessibility
100RunsPerSubj,"Whole-brain, time-locked activation with simple tasks revealed using massive averaging and model-free analysis","This dataset contains anatomical, average of 100 functional runs and clustering results associated with the PNAS article of the same name as the project.",Whole-brain activity,"fMRI, transient responses, clustering, activation extent",3,,,,protected
ADHD200,ADHD200,FreeSurfer reconstructions of the ADHD200 data,ADHD200,,1,,,,public
Aging,Brain correlates of age related cognitive decline,,Aging_TAU,"DTI, MRI, aging",,,,,public
AVZ_Slicer3Min,AVZ_Slicer3MinuteTutorial,Gray scale image from Slicer 3 Minute Tutorial - with generated DICOM and nrrd files in reconstruction folder,AVZ_Slicer3Min,,,,2,,public
BC_CT_TOR,Boston Children's CT Torsos,CT torso image volumes collected and manually segmented by the Pediatric Cardiology Department of Boston Children's Hospital and uploaded as a pilot project for the CardioVascular Research Grid (CVRG).,BC_CT_TOR,,,,3,,protected
bistable,Brain mechanisms for simple perception and bistable perception ,"For details of this project, see Wang, Artega &amp; He, PNAS 2013",Bistable Perception fMRI,fMRI; bistable perception; vision; perceptual memory,2,,,,protected
BP,Combination training increases cognitive performance and modifies the brain resting state activity in healthy aging individuals,fMRI,Brain plasticity ,"Cognitive enrichment, brain plasticity",,,,,protected
Calib,mBIRN_calib,"This data set consists of spoiled gradient-recalled echo magnetic
resonance imaging data from five healthy volunteers (four males and one
female) scanned twice at four sites having 1.5T systems from different
vendors(Siemens, GE, Marconi Medical Systems).  Some subjects were also
scanned a single time at another site. One subject was only scanned twice
at three sites (subject 73213384) and once at another site. For each
subject, four Fast Low-Angle Shot (FLASH) scans with flip angles of 3, 5,
20, and 30 degrees were obtained in a single scan session, from which
tissue proton density and T1 maps can be derived. These data were acquired
to investigate various metrics of within-site and across-site
reproducibility.  This study was sponsored by the Brain Morphometry
testbed (MBIRN) of the Biomedical Informatics Research Network (BIRN). 
The images have been defaced so that no facial features can be
reconstructed from these data.
",mBIRN Calibration,,42,,,,public
CENTRAL_hip,hippocampus lddmm,a description,hip,,,,,,protected
CENTRAL_MRTBrain10,MRT Brain Non-rigid registration,,MRTBrain10,,1,,,,protected
CENTRAL_OASIS_CS,Oasis Cross-Sectional Studies,See www.oasis-brains.org for details.,OASIS_CS,,434,,,,public
